,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2056,0.515,0.851,-4.837,0.0395,0.000482,4.78e-05,0.279,0.377,125.016
2057,0.59,0.815,-3.96,0.047,0.000348,0.00127,0.121,0.683,96.028
2058,0.51,0.417,-7.583,0.0263,0.111,6.36e-05,0.116,0.145,148.01
2059,0.568,0.815,-6.132,0.0384,0.000859,0.00409,0.0991,0.273,105.962
2060,0.66,0.657,-5.481,0.0288,0.000128,0.00108,0.107,0.597,127.982
2061,0.569,0.712,-6.036,0.0538,0.000614,9.27e-06,0.087,0.403,126.004
2062,0.505,0.468,-8.243,0.0292,0.0172,0.0,0.0852,0.126,138.022
2063,0.352,0.732,-4.731,0.0292,0.000592,0.000202,0.142,0.384,83.927
2064,0.366,0.459,-5.77,0.0272,0.0544,0.0,0.082,0.195,139.277
2065,0.532,0.683,-5.278,0.0262,0.000546,0.0,0.0911,0.549,96.05
2066,0.559,0.696,-5.942,0.0264,0.0056,0.000162,0.288,0.426,99.518
2067,0.482,0.871,-4.61,0.0455,4.02e-05,4.14e-06,0.323,0.741,134.047
2068,0.355,0.903,-3.806,0.0543,0.002,0.11,0.868,0.233,126.443
2069,0.393,0.833,-3.56,0.0683,0.00633,0.0118,0.953,0.494,100.372
2070,0.4,0.428,-5.934,0.0283,0.176,0.0286,0.84,0.0605,73.692
2071,0.367,0.779,-4.198,0.047,0.0531,0.00719,0.865,0.377,105.358
2072,0.433,0.904,-3.574,0.0486,0.00378,0.000359,0.983,0.393,127.375
2073,0.241,0.824,-3.841,0.0714,0.000134,0.184,0.764,0.375,127.498
2074,0.295,0.528,-6.437,0.0317,0.037,3.56e-05,0.911,0.233,132.206
2075,0.194,0.682,-4.035,0.0362,0.00701,3.39e-05,0.971,0.483,81.521
2076,0.301,0.578,-5.442,0.0306,0.0386,0.000242,0.972,0.264,140.203
2077,0.399,0.663,-3.848,0.0291,0.0043,0.000734,0.679,0.242,96.851
2078,0.417,0.639,-5.116,0.0322,0.00537,0.000447,0.71,0.277,96.67
2079,0.318,0.896,-3.698,0.0491,0.000423,0.0075,0.724,0.624,133.836
2080,0.485,0.863,-3.989,0.0574,0.000158,6.83e-05,0.975,0.362,120.005
2081,0.237,0.725,-4.77,0.0319,0.000475,0.00325,0.962,0.359,147.711
2082,0.515,0.851,-4.837,0.0395,0.000482,4.78e-05,0.279,0.377,125.016
2083,0.59,0.815,-3.96,0.047,0.000348,0.00127,0.121,0.683,96.029
